Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
254,Isaiah Jackson,24,IND,C,29,14,18.3,2.9,4.9,.585,0.0,0.0,,2.9,4.9,.585,.585,1.6,2.1,.742,2.5,3.4,5.9,0.8,0.7,0.8,1.1,3.0,7.3,,jacksis01
255,Jordan Walsh,21,BOS,PF,24,16,21.0,2.8,4.7,.584,0.8,1.9,.444,1.9,2.8,.676,.673,1.0,1.1,.852,1.6,3.5,5.0,1.0,1.2,0.6,0.7,2.7,7.3,,walshjo01
256,Nikola Jović,22,MIA,PF,19,1,18.3,2.4,6.2,.390,0.9,3.2,.283,1.5,3.1,.500,.462,1.5,2.1,.718,0.6,2.9,3.5,2.6,0.5,0.4,1.8,2.1,7.2,,jovicni01
257,Ryan Dunn,23,PHO,SF,24,11,22.8,2.9,6.4,.448,0.8,2.5,.295,2.1,3.9,.548,.506,0.6,0.8,.700,1.8,3.1,4.9,1.9,1.3,0.6,1.2,2.7,7.1,,dunnry01
258,Day'Ron Sharpe,24,BRK,C,27,0,16.3,2.6,4.3,.598,0.2,0.8,.286,2.4,3.6,.667,.624,1.7,2.6,.652,2.1,3.5,5.6,2.2,0.9,0.5,1.6,2.1,7.1,,sharpda01
259,Seth Curry,35,GSW,SG,2,0,16.0,3.0,4.5,.667,1.0,2.0,.500,2.0,2.5,.800,.778,0.0,0.0,,0.5,1.5,2.0,1.5,1.0,0.0,0.0,1.5,7.0,,curryse01
260,Sion James,23,CHO,SG,30,14,25.9,2.2,5.3,.409,1.2,3.2,.371,1.0,2.1,.468,.522,1.5,1.7,.865,0.5,2.7,3.2,1.6,0.7,0.4,0.9,1.7,7.0,,jamessi01
261,Collin Murray-Boyles,20,TOR,PF,26,4,18.0,2.8,5.1,.556,0.5,1.2,.452,2.3,3.9,.588,.609,0.8,1.3,.606,2.0,1.8,3.8,1.4,0.7,0.4,1.2,2.3,7.0,,murraco01
262,Pat Spencer,29,GSW,PG,21,3,15.5,2.6,6.1,.430,0.7,1.8,.395,1.9,4.3,.444,.488,1.0,1.1,.875,0.7,1.6,2.3,3.0,0.7,0.0,1.0,1.4,7.0,,spencpa01
263,Tristan Vukcevic,22,WAS,C,24,2,12.0,2.4,5.3,.460,0.5,2.1,.216,2.0,3.1,.627,.504,1.7,2.2,.774,0.6,2.0,2.6,0.9,0.3,0.5,1.0,1.5,7.0,,vukcetr01
264,Jevon Carter,30,CHI,PG,14,0,14.3,2.2,5.4,.408,1.7,4.1,.421,0.5,1.4,.368,.566,0.7,0.7,1.000,0.4,1.1,1.4,1.2,0.8,0.0,0.6,1.1,6.9,,carteje01
265,Sam Hauser,28,BOS,PF,29,5,21.9,2.3,6.6,.354,2.1,5.8,.357,0.3,0.8,.333,.510,0.1,0.1,.750,0.6,2.9,3.5,1.4,0.6,0.3,0.6,1.2,6.9,,hausesa01
266,Kevin Love,37,UTA,PF,18,1,16.7,2.3,5.5,.414,1.4,4.1,.351,0.8,1.4,.600,.545,0.9,1.2,.727,1.6,3.6,5.1,1.7,0.3,0.3,0.7,2.1,6.9,,loveke01
